MATRICULA,MEDIA_CONSUMO,DESVIO_PADRAO_CONSUMO,CONSUMO_MINIMO,CONSUMO_MAXIMO,CATEGORIA,CONTAGEM_MATRICULA,FRAUDADOR
17075331,8.58,7.82,0.0,26.0,1,0,0
17075333,0.0,0.0,0.0,0.0,1,0,0
17075335,1.58,2.02,0.0,6.0,1,1,1
17075337,3.83,1.75,1.0,7.0,1,0,0
17075338,18.92,21.04,8.0,85.0,1,0,0
17075342,21.92,4.17,16.0,30.0,1,0,0
17075343,0.0,0.0,0.0,0.0,1,0,0
17075344,77.58,45.43,0.0,150.0,1,0,0
17075345,11.08,3.23,7.0,17.0,1,1,1
17075346,4.75,2.01,1.0,7.0,1,0,0
17075347,0.0,0.0,0.0,0.0,1,0,0
17075348,46.92,7.0,37.0,64.0,1,0,0
17075349,33.17,5.61,24.0,42.0,1,1,1
17075351,50.92,10.44,34.0,66.0,1,0,0
17075355,1.92,2.39,0.0,8.0,1,0,0
17075358,7.25,1.6,5.0,9.0,1,0,0
17075360,13.42,1.16,11.0,15.0,1,0,0
17075362,5.67,0.98,5.0,8.0,1,0,0
17075363,12.67,6.85,0.0,25.0,1,0,0
17075365,11.5,6.36,4.0,24.0,1,1,1
17075366,9.17,3.27,2.0,15.0,1,0,0
17075367,15.83,6.99,5.0,26.0,1,0,0
17075388,6.0,1.65,4.0,10.0,1,0,0
17075390,2.17,5.08,0.0,14.0,1,2,1
17075401,0.0,0.0,0.0,0.0,1,0,0
17075402,2.0,1.76,0.0,6.0,1,0,0
17075412,18.17,9.82,4.0,40.0,1,0,0
17075420,29.58,2.87,26.0,34.0,1,1,1
17075422,22.0,2.94,19.0,25.0,1,0,0
17075431,9.42,16.4,2.0,61.0,1,0,0
17075432,3.83,0.58,3.0,5.0,1,0,0
17075433,19.25,2.6,15.0,23.0,1,0,0
17075438,15.58,21.91,0.0,55.0,1,0,0
17075442,4.75,1.91,2.0,7.0,1,1,1
17075443,37.83,5.1,32.0,47.0,1,0,0
